genre,artist_name,track_name,popularity,danceability,energy,tempo,valence,categoria_popularidade
Alternative,Avenged Sevenfold,Hail to the King,72,0.585,0.887,118.035,0.711,Muito Popular
Alternative,Counting Crows,Mr. Jones,75,0.581,0.817,141.607,0.779,Muito Popular
Alternative,Rage Against The Machine,Killing In The Name,75,0.466,0.833,88.785,0.661,Muito Popular
Alternative,Trapt,Headstrong,70,0.492,0.896,184.981,0.534,Muito Popular
Alternative,Red Hot Chili Peppers,Can't Stop,77,0.618,0.938,91.455,0.875,Muito Popular
Alternative,Toploader,Dancing in the Moonlight - 2001 Remix,63,0.748,0.842,119.023,0.945,Popular
Alternative,Joji,Will He,70,0.618,0.217,116.013,0.0872,Muito Popular
Alternative,Disturbed,The Sound of Silence,71,0.322,0.28,85.794,0.175,Muito Popular
Alternative,Joji,ATTENTION,70,0.787,0.312,119.899,0.425,Muito Popular
Alternative,Frank Ocean,Pink + White,73,0.544,0.552,159.738,0.554,Muito Popular
Alternative,Red Hot Chili Peppers,Snow (Hey Oh),76,0.432,0.895,104.458,0.625,Muito Popular
Alternative,Bad Wolves,Zombie,70,0.448,0.826,77.093,0.19,Muito Popular
Alternative,Nickelback,Rockstar,65,0.616,0.91,144.073,0.693,Muito Popular
Alternative,The Revivalists,Wish I Knew You,67,0.651,0.716,101.05,0.722,Muito Popular
Alternative,Radiohead,Creep,78,0.515,0.43,91.841,0.104,Muito Popular
Alternative,Alina Baraz,Electric (feat. Khalid),70,0.599,0.396,111.072,0.134,Muito Popular
Alternative,Jhene Aiko,Sativa,70,0.741,0.61,125.99,0.72,Muito Popular
Alternative,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),70,0.728,0.607,129.938,0.445,Muito Popular
Alternative,Five Finger Death Punch,Bad Company,66,0.557,0.886,114.025,0.17,Muito Popular
Alternative,Alice In Chains,Man in the Box,68,0.346,0.765,106.463,0.644,Muito Popular
Alternative,The Offspring,"You're Gonna Go Far, Kid",74,0.546,0.905,126.12,0.598,Muito Popular
Alternative,Nickelback,How You Remind Me,75,0.446,0.764,172.094,0.543,Muito Popular
Alternative,Duckwrth,Start a Riot,69,0.728,0.727,143.144,0.89,Muito Popular
Alternative,KALEO,Way Down We Go,73,0.489,0.505,163.255,0.337,Muito Popular
Alternative,Incubus,Drive,69,0.645,0.792,90.565,0.666,Muito Popular
Alternative,Marcy Playground,Sex & Candy,66,0.67,0.558,80.511,0.63,Muito Popular
Alternative,Foo Fighters,The Pretender,73,0.433,0.959,172.984,0.365,Muito Popular
Alternative,DaniLeigh,Easy - Remix,72,0.799,0.301,100.026,0.511,Muito Popular
Alternative,Frank Ocean,Self Control,70,0.572,0.209,80.069,0.446,Muito Popular
Alternative,Seether,Fake It,71,0.615,0.949,131.985,0.586,Muito Popular
Alternative,R.E.M.,Losing My Religion,78,0.671,0.849,125.613,0.829,Muito Popular
Alternative,Chevelle,The Red,66,0.509,0.843,140.055,0.332,Muito Popular
Alternative,Red Hot Chili Peppers,Dani California,73,0.553,0.865,96.161,0.735,Muito Popular
Alternative,The Goo Goo Dolls,Iris,75,0.315,0.715,155.925,0.497,Muito Popular
Alternative,Alina Baraz,Floating (feat. Khalid),69,0.66,0.447,84.95,0.578,Muito Popular
Alternative,Frank Ocean,Solo,66,0.444,0.287,124.027,0.246,Muito Popular
Alternative,Weezer,Say It Ain't So,70,0.624,0.517,151.695,0.42,Muito Popular
Alternative,Skillet,Hero,68,0.533,0.967,142.018,0.782,Muito Popular
Alternative,The 1975,Love It If We Made It,70,0.472,0.751,180.089,0.0736,Muito Popular
Alternative,Lit,My Own Worst Enemy,69,0.494,0.946,103.408,0.741,Muito Popular
Alternative,6LACK,PRBLMS,71,0.417,0.58,68.58,0.139,Muito Popular
Alternative,Tierra Whack,Hungry Hippo,68,0.894,0.61,136.64,0.78,Muito Popular
Alternative,Frank Ocean,White Ferrari,66,0.444,0.0924,108.917,0.219,Muito Popular
Alternative,Disturbed,Down with the Sickness,70,0.695,0.876,89.954,0.941,Muito Popular
